CustomerID,Monthly Charges,Total Charges,Payment Method,Paperless Billing,CLTV
0612-RTZZA,25.25,25.25,Electronic check,No,4628
6410-LEFEN,45.15,416.45,Electronic check,No,3757
3194-ORPIK,84.4,4116.15,Bank transfer (automatic),Yes,5135
8816-VXNZD,75.1,75.1,Electronic check,Yes,4335
9378-FXTIZ,70.15,3715.65,Credit card (automatic),Yes,4596
1723-HKXJQ,101.75,4273.45,Electronic check,Yes,5545
7825-GKXMW,45.8,45.8,Electronic check,No,5973
1240-KNSEZ,20.1,20.1,Mailed check,Yes,4933
0836-SEYLU,40.65,328.95,Mailed check,No,4800
4433-JCGCG,101.0,4680.05,Electronic check,Yes,2436
3716-BDVDB,69.1,69.1,Electronic check,Yes,5795
5899-MQZZL,75.0,999.45,Mailed check,Yes,2189
6849-OYAMU,100.0,1888.65,Bank transfer (automatic),No,2608
9488-HGMJH,71.15,71.15,Electronic check,Yes,5287
6038-GCYEC,54.15,1240.25,Credit card (automatic),Yes,5153
1150-WFARN,108.75,7156.2,Credit card (automatic),Yes,5516
3144-AUDBS,49.15,270.8,Electronic check,Yes,5271
5616-PRTNT,19.4,374.5,Electronic check,Yes,3785
4818-QIUFN,79.15,1520.9,Electronic check,Yes,4997
6961-VCPMC,80.4,3605.2,Electronic check,Yes,4876
6688-UZPWD,102.0,1145.35,Electronic check,Yes,5750
2839-RFSQE,20.65,38.7,Mailed check,No,3845
0968-GSIKN,70.8,70.8,Mailed check,Yes,3901
1965-DDBWU,89.05,1448.6,Credit card (automatic),Yes,5953
9057-SIHCH,96.6,291.9,Electronic check,Yes,3260
6771-XWBDM,104.5,5921.35,Credit card (automatic),Yes,4471
8601-QACRS,50.6,249.95,Mailed check,Yes,2353
2391-SOORI,49.35,219.65,Electronic check,No,5858
2645-QTLMB,94.25,669,Electronic check,Yes,5267
4806-HIPDW,68.95,68.95,Electronic check,Yes,5644
4424-TKOPW,93.85,196.75,Electronic check,Yes,4998
8443-ZRDBZ,76.05,318.9,Electronic check,Yes,3685
9136-ALYBR,24.45,24.45,Mailed check,Yes,2121
7479-NITWS,89.35,631.85,Credit card (automatic),Yes,4154
2959-MJHIC,80.35,307.4,Electronic check,Yes,4167
4201-JMNGR,55.8,55.8,Electronic check,Yes,5527
5960-WPXQM,79.05,79.05,Electronic check,Yes,3555
0684-AOSIH,95.0,95,Electronic check,Yes,4489
8260-NGFNY,25.2,25.2,Mailed check,No,3196
1866-RZZQS,98.4,4187.75,Electronic check,Yes,2169
8631-NBHFZ,79.4,5154.6,Credit card (automatic),No,5910
4958-XCBDQ,101.4,3496.3,Electronic check,Yes,3689
8337-UPOAQ,89.8,914.3,Electronic check,Yes,5124
1725-IQNIY,109.75,6110.2,Bank transfer (automatic),No,6274
6598-RFFVI,19.3,28.3,Credit card (automatic),No,2279
6712-OAWRH,91.25,2351.8,Electronic check,Yes,5154
8614-VGMMV,49.1,679.55,Electronic check,Yes,5209
2930-UOTMB,65.25,1994.3,Credit card (automatic),No,4403
5914-DVBWJ,85.45,1505.85,Electronic check,Yes,5145
2533-QVMSK,94.1,5638.3,Electronic check,Yes,6295
8644-XLFBW,71.65,71.65,Electronic check,Yes,5674
8625-AZYZY,104.65,2542.45,Electronic check,Yes,4734
9306-CPCBC,74.25,210.3,Electronic check,Yes,3207
1833-VGRUM,74.2,74.2,Electronic check,Yes,4684
8374-XGEJJ,101.0,4388.4,Electronic check,Yes,3123
2656-TABEH,100.2,420.2,Electronic check,Yes,2650
6946-LMSQS,89.05,2177.45,Electronic check,Yes,2673
2325-ZUSFD,70.1,3913.3,Bank transfer (automatic),Yes,4669
3932-CMDTD,105.65,443.9,Electronic check,Yes,4663
4039-HEUNW,96.5,3436.1,Electronic check,Yes,4652
0812-WUPTB,70.85,70.85,Mailed check,No,3022
3594-UVONA,85.95,3110.1,Credit card (automatic),Yes,3833
0004-TLHLJ,73.9,280.85,Electronic check,Yes,4479
5089-IFSDP,109.45,6144.55,Bank transfer (automatic),Yes,6424
4817-VYYWS,100.2,2983.8,Electronic check,Yes,3598
1396-QWFBJ,74.05,1565.7,Bank transfer (automatic),Yes,5630
5299-SJCZT,101.55,298.35,Bank transfer (automatic),Yes,4480
2403-BCASL,111.95,4534.9,Electronic check,Yes,3711
2898-LSJGD,55.95,1157.05,Electronic check,Yes,5531
7359-PTSXY,45.75,45.75,Electronic check,No,3531
4503-BDXBD,74.95,815.5,Electronic check,No,4251
6086-ESGRL,80.15,80.15,Credit card (automatic),No,3947
3886-CERTZ,109.25,8109.8,Electronic check,Yes,4261
5759-RCVCB,35.2,108.95,Credit card (automatic),No,5450
6372-RFVNS,78.8,78.8,Electronic check,No,5075
8938-UMKPI,106.4,5127.95,Electronic check,Yes,4804
0991-BRRFB,49.4,874.8,Electronic check,No,4028
3871-IKPYH,69.1,69.1,Electronic check,No,2767
6319-IEJWJ,90.2,1776.55,Electronic check,Yes,2058
9025-AOMKI,93.55,536.4,Bank transfer (automatic),Yes,5617
5275-SQEIZ,80.85,80.85,Mailed check,Yes,3096
7716-YTYHG,82.05,4029.95,Mailed check,Yes,3365
4390-KYULV,20.55,51.15,Credit card (automatic),Yes,4115
1304-NECVQ,78.55,149.55,Electronic check,Yes,5203
8945-GRKHX,78.65,78.65,Electronic check,No,2728
6959-UWKHF,42.9,42.9,Electronic check,Yes,4895
3815-SLMEF,34.25,139.35,Mailed check,No,2802
5154-VEKBL,58.5,539.85,Mailed check,No,3032
5655-JSMZM,96.2,4718.25,Electronic check,Yes,5904
4505-EXZHB,74.4,434.1,Electronic check,No,3964
4587-VVTOX,105.3,545.2,Electronic check,Yes,4163
4652-NNHNY,73.85,1284.2,Bank transfer (automatic),Yes,3226
8972-HJWNV,84.55,646.85,Electronic check,Yes,5245
8515-OCTJS,24.75,692.1,Credit card (automatic),No,4931
2860-RANUS,85.8,1727.5,Credit card (automatic),Yes,3336
5261-QSHQM,24.45,86.6,Electronic check,Yes,4909
8868-WOZGU,105.7,2979.5,Electronic check,Yes,2464
1334-FJSVR,24.25,24.25,Electronic check,Yes,2846
7625-XCQRH,76.5,837.95,Electronic check,Yes,2291
1731-TVIUK,93.5,362.2,Electronic check,Yes,4554
0406-BPDVR,101.5,5373.1,Credit card (automatic),Yes,6405
0618-XWMSS,74.9,2068.55,Bank transfer (automatic),Yes,5392
5276-KQWHG,69.6,131.65,Electronic check,Yes,4596
2565-JSLRY,24.05,24.05,Mailed check,Yes,3162
6689-KXGBO,50.55,50.55,Electronic check,No,3420
6615-NGGZJ,100.55,1415.55,Electronic check,Yes,5224
4255-DDUOU,20.5,20.5,Mailed check,Yes,2398
2984-MIIZL,74.8,321.9,Bank transfer (automatic),Yes,5882
5590-YRFJT,24.45,482.8,Electronic check,Yes,3298
3677-TNKIO,71.0,914,Credit card (automatic),Yes,3228
9667-EQRXU,40.3,1172.95,Electronic check,Yes,3016
3329-WDIOK,50.6,155.35,Electronic check,Yes,4800
2873-ZLIWT,84.85,3303.05,Electronic check,Yes,5764
3415-TAILE,65.7,134.35,Mailed check,No,4265
1915-IOFGU,70.5,70.5,Electronic check,No,4123
3045-XETSH,94.85,953.45,Electronic check,Yes,3074
7239-HZZCX,19.75,19.75,Mailed check,No,4851
7683-CBDKJ,65.45,937.6,Electronic check,Yes,2881
0946-CLJTI,98.7,5812.6,Electronic check,Yes,4662
0628-CNQRM,67.5,1544.05,Bank transfer (automatic),Yes,3378
7665-TOALD,69.6,69.6,Electronic check,Yes,2412
0112-QWPNC,84.35,4059.35,Electronic check,No,6452
0324-BRPCJ,100.2,6851.65,Electronic check,Yes,4481
2777-PHDEI,78.05,78.05,Electronic check,No,3458
1196-AMORA,73.6,520,Electronic check,No,2679
4282-YMKNA,74.75,706.6,Electronic check,Yes,5003
5356-RHIPP,20.2,20.2,Mailed check,Yes,5355
9189-JWSHV,93.55,2264.05,Electronic check,Yes,4937
0746-JTRFU,25.05,56.35,Electronic check,Yes,4810
0576-WNXXC,95.55,2510.2,Electronic check,Yes,2999
4628-CTTLA,39.3,2111.45,Electronic check,Yes,4917
2876-VBBBL,20.25,20.25,Mailed check,Yes,2783
6834-NXDCA,23.9,300.8,Electronic check,Yes,2967
5597-GLBUC,85.45,85.45,Electronic check,Yes,4931
2748-MYRVK,99.9,6137,Bank transfer (automatic),No,4776
4822-YCXMX,84.8,2043.45,Electronic check,Yes,4203
9821-POOTN,75.2,2576.2,Electronic check,Yes,4639
6559-ILWKJ,49.35,3515.25,Electronic check,No,4879
4229-CZMLL,74.9,469.8,Electronic check,Yes,4160
3663-MITLP,101.25,1457.25,Electronic check,Yes,3968
9025-ZRPVR,18.95,185.6,Mailed check,Yes,5403
3285-UCQVC,28.6,973.55,Credit card (automatic),No,4429
5482-PLVPE,24.35,41.85,Electronic check,No,3278
4902-OHLSK,98.65,2862.75,Electronic check,No,4235
0495-ZBNGW,79.9,343.95,Bank transfer (automatic),Yes,4324
2357-COQEK,103.3,2890.65,Electronic check,Yes,4136
3737-GCSPV,96.2,1222.05,Credit card (automatic),Yes,3101
4088-YLDSU,104.15,5743.05,Electronic check,Yes,4369
2034-CGRHZ,102.95,2496.7,Credit card (automatic),Yes,5245
5797-APWZC,90.6,90.6,Electronic check,No,2540
3683-QKIUE,50.8,288.05,Bank transfer (automatic),Yes,4713
4228-ZGYUW,90.05,368.1,Electronic check,Yes,3212
3519-ZKXGG,75.85,256.6,Electronic check,Yes,4062
6416-TVAIH,68.5,68.5,Electronic check,Yes,5753
5108-ADXWO,73.5,791.75,Electronic check,Yes,4509
3066-RRJIO,69.95,69.95,Mailed check,Yes,5341
6715-OFDBP,70.05,346.4,Electronic check,Yes,4944
1567-DSCIC,94.0,773.65,Electronic check,Yes,2632
2150-UWTFY,61.15,1422.05,Mailed check,No,4626
2683-BPJSO,84.45,2467.1,Electronic check,Yes,2651
2157-MXBJS,75.3,989.45,Mailed check,Yes,4800
9360-AHGNL,109.55,4830.25,Mailed check,Yes,5863
1087-UDSIH,19.6,59.75,Mailed check,Yes,5000
5485-WUYWF,66.4,94.55,Bank transfer (automatic),No,4522
2632-UCGVD,100.05,6871.9,Credit card (automatic),Yes,4512
5445-PZWGX,102.0,6529.25,Electronic check,No,5090
9170-CCKOU,90.2,1454.15,Credit card (automatic),No,2026
1043-YCUTE,25.15,1327.15,Credit card (automatic),Yes,6484
3814-MLAXC,79.85,2404.15,Credit card (automatic),Yes,2554
1226-UDFZR,49.6,114.7,Mailed check,Yes,3599
6425-YQLLO,105.95,6975.25,Credit card (automatic),Yes,6117
5442-UTCVD,91.85,257.05,Electronic check,No,2704
7734-DBOAI,40.1,40.1,Electronic check,No,5434
2091-RFFBA,73.9,2217.15,Electronic check,Yes,2560
2114-MGINA,89.8,1129.1,Mailed check,Yes,4107
4489-SNOJF,72.25,2568.55,Electronic check,No,5898
6899-PPEEA,96.55,3580.3,Electronic check,Yes,4448
2187-LZGPL,40.1,293.3,Credit card (automatic),Yes,4414
4597-NUCQV,101.25,2440.15,Electronic check,Yes,4287
9019-QVLZD,79.55,79.55,Electronic check,No,5082
3707-LRWZD,84.05,2781.85,Electronic check,No,3553
1455-ESIQH,89.1,89.1,Electronic check,Yes,2905
2979-SXESE,94.4,1607.2,Electronic check,No,4103
4013-TLDHQ,78.25,1490.95,Electronic check,Yes,3666
3754-DXMRT,44.15,92.65,Electronic check,Yes,5655
7130-VTEWQ,75.75,606.25,Electronic check,Yes,4174
6121-VZNQB,19.1,19.1,Mailed check,Yes,5890
7903-CMPEY,80.3,80.3,Electronic check,Yes,4138
6996-KNSML,74.9,74.9,Electronic check,Yes,5919
1704-NRWYE,80.85,751.65,Electronic check,Yes,5242
2592-SEIFQ,24.75,66.95,Electronic check,No,3503
7481-ATQQS,90.85,4515.85,Credit card (automatic),Yes,5651
8642-GVWRF,79.7,165,Bank transfer (automatic),No,3039
3400-ESFUW,57.55,3046.4,Bank transfer (automatic),No,5463
2057-ZBLPD,86.5,1808.7,Electronic check,Yes,2036
5502-RLUYV,103.95,7446.9,Electronic check,Yes,4283
0023-HGHWL,25.1,25.1,Electronic check,Yes,5437
9039-RBEEE,48.95,1880.85,Credit card (automatic),Yes,3080
8417-FMLZI,83.55,477.55,Credit card (automatic),Yes,4242
1792-UXAFY,89.15,1496.9,Electronic check,Yes,5082
0515-YPMCW,70.45,70.45,Mailed check,Yes,3525
0378-XSZPU,60.3,3563.8,Credit card (automatic),No,4026
4729-XKASR,24.75,24.75,Electronic check,No,3001
5449-FIBXJ,103.3,2012.7,Electronic check,No,2349
9837-BMCLM,78.5,242.05,Electronic check,Yes,3567
0137-UDEUO,19.85,63.75,Mailed check,No,3398
6161-UUUTA,79.9,260.9,Electronic check,Yes,4367
6543-XRMYR,99.7,2967.35,Electronic check,Yes,3548
4925-LMHOK,58.6,939.7,Credit card (automatic),Yes,2003
1455-UGQVH,98.5,1037.75,Electronic check,Yes,4501
8280-MQRQN,50.45,50.45,Mailed check,Yes,2806
2037-SGXHH,94.65,3624.3,Electronic check,Yes,3498
3178-FESZO,100.25,100.25,Credit card (automatic),Yes,5797
6087-MVHJH,88.45,1422.1,Electronic check,Yes,5186
4603-JANFB,69.85,69.85,Electronic check,Yes,4548
3018-TFTSU,81.7,858.6,Bank transfer (automatic),No,2850
4806-KEXQR,79.9,324.3,Electronic check,Yes,4669
7083-YNSKY,25.4,399.6,Credit card (automatic),Yes,2853
2479-BRAMR,83.75,3273.55,Bank transfer (automatic),Yes,4995
7434-SHXLS,20.9,20.9,Mailed check,No,5421
7908-QCBCA,69.4,69.4,Mailed check,Yes,2404
6711-FLDFB,74.9,541.15,Electronic check,Yes,5159
3714-JTVOV,74.15,3229.4,Credit card (automatic),Yes,2322
4702-IOQDC,70.1,70.1,Electronic check,Yes,2007
6178-KFNHS,78.3,909.25,Electronic check,Yes,3545
1264-BYWMS,96.8,5283.95,Electronic check,Yes,4089
9658-WYUFB,94.4,1617.5,Electronic check,Yes,2825
2013-SGDXK,84.3,84.3,Electronic check,No,2172
8580-QVLOC,92.45,6440.25,Credit card (automatic),No,5697
2012-NWRPA,99.55,1131.2,Electronic check,Yes,3172
8808-ELEHO,81.25,585.95,Electronic check,Yes,3812
3506-LCJDC,19.95,19.95,Bank transfer (automatic),No,4860
3934-HXCFZ,99.25,2186.4,Electronic check,Yes,5338
7666-WKRON,80.45,3201.55,Electronic check,Yes,2224
4910-AQFFX,79.35,661.25,Bank transfer (automatic),Yes,4533
2154-KVJFF,79.75,1111.85,Electronic check,Yes,2813
9647-ERGBE,100.05,3046.15,Electronic check,Yes,4664
3428-XZMAZ,69.35,69.35,Electronic check,Yes,5796
0378-TOVMS,85.8,272.2,Electronic check,No,5641
4355-HBJHH,79.7,5293.4,Electronic check,Yes,6289
9058-CBREO,50.55,50.55,Mailed check,No,3357
0318-QUUOB,80.55,80.55,Electronic check,Yes,4273
5520-FVEWJ,84.5,916.9,Electronic check,Yes,4154
5572-ZDXHY,84.3,1855.65,Mailed check,Yes,5313
3750-CKVKH,67.75,116.65,Electronic check,Yes,2299
8063-GBATB,85.25,2287.25,Electronic check,Yes,5172
4547-KQRTM,80.05,830.7,Bank transfer (automatic),Yes,3740
4877-EVATK,20.0,20,Mailed check,No,3657
7639-SUPCW,48.8,1054.6,Credit card (automatic),Yes,2270
1069-XAIEM,85.05,85.05,Electronic check,Yes,2975
4658-HCOHW,102.8,2110.15,Electronic check,Yes,3123
3440-JPSCL,99.95,547.65,Mailed check,Yes,3722
2889-FPWRM,117.8,8684.8,Bank transfer (automatic),Yes,4432
6987-XQSJT,79.5,4370.25,Electronic check,Yes,5684
4290-BSXUX,79.65,251.75,Bank transfer (automatic),Yes,5036
0325-XBFAC,94.7,740.3,Electronic check,Yes,5811
2462-XIIJB,92.5,452.7,Electronic check,Yes,2810
4760-XOHVN,19.45,19.45,Mailed check,No,2865
7817-BOQPW,75.55,166.3,Electronic check,Yes,4320
1853-UDXBW,70.0,70,Electronic check,Yes,2485
5458-CQJTA,74.8,4820.15,Bank transfer (automatic),Yes,5207
5219-YIPTK,104.4,3409.6,Electronic check,Yes,3185
3540-RZJYU,86.2,1270.2,Electronic check,No,5829
2091-MJTFX,51.2,1561.5,Credit card (automatic),No,4568
0883-EIBTI,19.5,31.55,Mailed check,No,2484
0722-TROQR,74.9,321.75,Electronic check,Yes,2122
7571-YXDAD,74.9,147.15,Credit card (automatic),No,2078
3393-FMZPV,100.25,2387.75,Electronic check,Yes,2195
6402-ZFPPI,102.8,2660.2,Mailed check,Yes,4969
7486-KSRVI,100.0,4211.55,Electronic check,Yes,4760
8443-WVPSS,99.85,990.9,Electronic check,Yes,4243
3006-XIMLN,94.2,193.8,Bank transfer (automatic),Yes,5299
9965-YOKZB,83.85,790.15,Electronic check,Yes,3723
0504-HHAPI,88.3,2467.75,Credit card (automatic),No,2420
6305-YLBMM,104.05,7262,Bank transfer (automatic),Yes,4254
3647-GMGDH,94.7,1914.9,Credit card (automatic),Yes,5615
3791-LGQCY,100.65,5688.05,Bank transfer (automatic),Yes,4803
8166-ZZTFS,80.55,5265.1,Bank transfer (automatic),Yes,4400
2956-GGUCQ,78.85,1772.25,Electronic check,Yes,3079
6595-COKXZ,44.45,44.45,Mailed check,Yes,4879
0362-ZBZWJ,84.9,3067.2,Electronic check,Yes,2455
4211-MMAZN,20.25,20.25,Mailed check,No,2959
4274-OWWYO,74.35,74.35,Electronic check,Yes,5633
1541-ETJZO,62.05,62.05,Mailed check,No,2937
4106-HADHQ,80.0,3182.95,Credit card (automatic),No,2704
2369-UAPKZ,104.1,541.9,Mailed check,No,3131
2778-OCLGR,39.1,971.3,Bank transfer (automatic),No,4591
0637-KVDLV,76.5,162.45,Electronic check,Yes,5944
6633-MPWBS,49.2,216.9,Electronic check,Yes,4336
8785-EPNCG,23.15,245.2,Credit card (automatic),No,5671
5729-KLZAR,80.85,302.75,Electronic check,No,2961
1582-RAFML,60.1,60.1,Mailed check,No,5654
8740-CRYFY,78.95,78.95,Electronic check,Yes,2038
2962-XPMCQ,45.15,98.5,Electronic check,Yes,2699
1678-FYZOW,79.4,244.65,Electronic check,Yes,2448
8627-EHGIP,53.95,2375.4,Mailed check,Yes,3051
5480-TBGPH,99.3,2431.35,Credit card (automatic),Yes,4811
8854-CCVSQ,80.65,1451.9,Electronic check,Yes,3788
0511-JTEOY,71.1,71.1,Mailed check,No,5824
7067-KSAZT,106.25,6979.8,Electronic check,Yes,5965
6532-YLWSI,20.8,1021.8,Bank transfer (automatic),No,4166
9300-AGZNL,94.0,94,Electronic check,Yes,4176
1112-CUNAO,89.85,1424.95,Electronic check,No,2668
5175-AOBHI,46.0,193.6,Mailed check,Yes,5246
5174-RNGBH,66.25,620.55,Mailed check,No,5515
7270-BDIOA,90.0,1993.8,Electronic check,Yes,4739
9565-JSNFM,70.45,2597.6,Bank transfer (automatic),Yes,5437
0607-DAAHE,19.75,1052.35,Bank transfer (automatic),No,6265
9732-KPKBW,53.95,53.95,Electronic check,Yes,2771
3389-YGYAI,105.5,829.55,Electronic check,Yes,5546
9560-ARGQJ,81.0,1312.15,Electronic check,Yes,2335
5134-IKDAY,69.8,69.8,Electronic check,Yes,2123
3070-DVEYC,73.75,545.15,Mailed check,No,5638
5707-ORNDZ,54.55,494.05,Electronic check,No,4656
8696-JKZNU,76.25,2841.55,Electronic check,Yes,5859
5380-AFSSK,93.9,486.85,Mailed check,Yes,5435
2055-PDADH,70.4,204.7,Electronic check,Yes,2491
8714-EUHJO,91.15,2995.45,Electronic check,Yes,5219
3721-CNEYS,70.95,137.95,Electronic check,Yes,5390
2568-OIADY,99.5,3762,Electronic check,Yes,4233
1193-RTSLK,83.9,3233.6,Credit card (automatic),Yes,2157
2302-ANTDP,117.45,5438.9,Electronic check,No,5915
5923-GXUOC,104.4,1081.45,Electronic check,Yes,5035
5233-GEEAX,29.4,221.9,Electronic check,Yes,5971
4432-ADRLB,44.65,74.9,Mailed check,No,4655
8993-PHFWD,25.25,58.9,Electronic check,No,2088
1565-RHDJD,84.05,333.55,Bank transfer (automatic),No,5552
7137-RYLPP,85.7,3171.15,Electronic check,Yes,4712
3765-JXVKY,74.7,74.7,Electronic check,Yes,4692
7330-WZLNC,90.8,455.5,Electronic check,Yes,5090
3957-LXOLK,106.15,3152.5,Electronic check,Yes,5030
6635-MYYYZ,85.35,2530.4,Bank transfer (automatic),No,2313
5281-BUZGT,90.85,3186.7,Electronic check,Yes,5692
5378-IKEEG,35.75,35.75,Electronic check,Yes,3351
2718-GAXQD,46.0,181.6,Electronic check,No,4797
6413-XKKPU,89.4,1539.45,Electronic check,Yes,2544
1449-XQEMT,19.8,58.15,Mailed check,Yes,4323
2626-URJFX,50.9,225.6,Electronic check,Yes,5691
2612-RRIDN,81.0,340.85,Electronic check,Yes,3591
4735-ASGMA,98.35,2515.3,Electronic check,Yes,4997
3669-LVWZB,51.0,305.95,Mailed check,Yes,4630
6892-EZDTG,91.65,365.4,Electronic check,Yes,2140
9725-SCPZG,90.85,90.85,Electronic check,Yes,5086
5884-GCYMI,69.4,69.4,Mailed check,No,2847
3217-FZDMN,94.45,742.95,Credit card (automatic),Yes,3676
7853-GVUDZ,20.15,20.15,Credit card (automatic),Yes,4277
7480-QNVZJ,95.7,4816.7,Electronic check,Yes,4287
3943-KDREE,74.95,1834.95,Bank transfer (automatic),Yes,2934
9239-ZBZZV,47.95,305.1,Electronic check,Yes,2240
4398-HSCJH,63.6,155.65,Electronic check,Yes,3155
4430-UZIPO,36.85,108.7,Mailed check,Yes,5825
4855-SNKMY,44.1,44.1,Electronic check,Yes,5955
8008-HAWED,50.75,712.75,Electronic check,Yes,4883
7124-UGSUR,104.4,6405,Credit card (automatic),Yes,4412
1862-SKORY,39.3,1637.4,Electronic check,Yes,2296
1502-XFCVR,106.45,6145.85,Electronic check,Yes,5902
9692-TUSXH,96.05,1740.7,Electronic check,Yes,5581
7912-SYRQT,75.1,552.95,Bank transfer (automatic),Yes,5514
4816-JBHOV,44.7,93.7,Electronic check,Yes,4618
8292-TYSPY,55.0,1046.5,Credit card (automatic),Yes,4539
1867-BDVFH,74.35,834.2,Electronic check,Yes,5075
2359-QWQUL,104.7,4134.85,Credit card (automatic),Yes,2371
9103-TCIHJ,55.7,899.8,Mailed check,Yes,4519
4140-WJAWW,19.85,108.05,Credit card (automatic),No,3799
6653-CBBOM,70.3,70.3,Electronic check,Yes,5963
3247-ZVOUO,85.55,851.75,Electronic check,No,3336
6101-IMRMM,94.5,575.45,Mailed check,No,3469
1268-ASBGA,85.35,1375.15,Credit card (automatic),Yes,5769
8943-URTMR,79.65,152.7,Mailed check,Yes,5082
4713-LZDRV,79.6,195.05,Electronic check,Yes,4322
4325-NFSKC,90.6,1660,Electronic check,Yes,2373
2955-PSXOE,20.2,20.2,Bank transfer (automatic),Yes,3061
7762-URZQH,106.05,6981.35,Credit card (automatic),Yes,5602
6907-NZZIJ,99.15,3615.6,Electronic check,Yes,4188
2911-UREFD,55.9,2184.35,Electronic check,No,5632
3744-ZRRDZ,82.35,1852.85,Electronic check,Yes,2902
5673-TIYIB,40.4,77.15,Credit card (automatic),Yes,3620
1602-IJQQE,75.35,338.1,Electronic check,No,2220
4628-WQCQQ,85.15,3030.6,Electronic check,Yes,5928
1644-IRKSF,93.8,3124.5,Electronic check,Yes,5080
3705-PSNGL,20.4,930.45,Electronic check,Yes,5398
6502-HCJTI,94.7,673.1,Credit card (automatic),Yes,3591
2606-RMDHZ,30.5,208.7,Credit card (automatic),Yes,4667
8258-GSTJK,77.0,237.75,Electronic check,Yes,3128
6861-OKBCE,20.1,221.35,Credit card (automatic),No,4500
9940-RHLFB,75.3,75.3,Electronic check,No,2176
2995-UPRYS,99.2,4062.2,Credit card (automatic),Yes,5098
6686-YPGHK,85.5,4042.3,Mailed check,No,3645
1383-EZRWL,20.05,164.85,Mailed check,No,5595
4759-TRPLW,70.4,70.4,Electronic check,No,4238
8563-IIOXK,49.75,331.3,Electronic check,Yes,5651
8020-BWHYL,75.3,1147.45,Credit card (automatic),Yes,4526
2982-VPSGI,94.0,1078.9,Electronic check,Yes,2120
8199-ZLLSA,118.35,7804.15,Bank transfer (automatic),Yes,6255
4625-EWPTF,30.45,226.45,Electronic check,Yes,4549
5980-NOPLP,96.1,4364.1,Electronic check,Yes,5606
6892-XPFPU,104.25,2433.9,Electronic check,Yes,2104
8010-EZLOU,80.2,1217.25,Electronic check,Yes,4958
9874-QLCLH,104.2,1743.5,Electronic check,Yes,2365
8062-YBDOE,69.65,69.65,Electronic check,Yes,5844
6000-APYLU,80.8,713.1,Electronic check,Yes,3890
0947-IDHRQ,80.3,526.7,Mailed check,Yes,3949
3672-YITQD,84.1,3021.6,Electronic check,Yes,2987
9048-JVYVF,69.35,191.35,Electronic check,Yes,3520
8988-ECPJR,79.6,2718.3,Mailed check,Yes,3980
3776-EKTKM,36.45,36.45,Electronic check,Yes,5303
1902-XBTFB,89.4,2001.5,Electronic check,Yes,5438
0643-OKLRP,80.35,3825.85,Electronic check,No,5915
9381-NDKME,40.65,933.3,Credit card (automatic),Yes,3843
2794-XIMMO,60.45,3184.25,Electronic check,Yes,5650
8382-SHQEH,84.9,764.95,Electronic check,Yes,2656
2983-ZANRP,73.55,145.4,Bank transfer (automatic),Yes,5799
7845-URHJN,20.15,156.25,Bank transfer (automatic),No,4785
3034-ZBEQN,34.7,1604.5,Mailed check,No,5995
8327-LZKAS,107.55,4533.9,Electronic check,Yes,4423
1075-BGWOH,98.75,1587.55,Electronic check,Yes,3392
0302-JOIVN,101.15,842.9,Electronic check,No,2750
5366-IJEQJ,88.7,1761.45,Electronic check,Yes,4115
1981-INRFU,79.75,164.5,Electronic check,Yes,5172
4971-PUYQO,94.55,2724.6,Mailed check,Yes,4464
8485-GJCDN,69.05,318.5,Mailed check,Yes,3368
1527-SXDPN,96.25,4990.25,Bank transfer (automatic),Yes,4751
6029-WTIPC,101.1,3744.05,Electronic check,Yes,4424
8634-CILSZ,104.7,7220.35,Bank transfer (automatic),Yes,6350
6682-QJDGB,55.25,2139.2,Mailed check,Yes,2810
8780-IXSTS,90.1,521.3,Electronic check,Yes,5656
9530-EHPOH,53.75,608,Electronic check,No,3407
0345-HKJVM,89.3,577.6,Electronic check,No,5800
3049-SOLAY,95.2,292.85,Electronic check,Yes,4176
3317-HRTNN,45.7,198,Electronic check,No,3561
3235-ETOOB,74.5,609.9,Electronic check,Yes,3683
8058-INTPH,79.65,79.65,Electronic check,Yes,2119
5569-OUICF,101.3,2812.2,Credit card (automatic),Yes,4994
8821-XNHVZ,80.05,80.05,Mailed check,Yes,2943
2082-OJVTK,89.2,2698.35,Electronic check,Yes,5292
5940-NFXKV,83.65,1465.75,Electronic check,Yes,3427
8053-WWDRO,19.5,146.3,Bank transfer (automatic),No,5579
9564-KCLHR,51.25,51.25,Mailed check,No,2180
2082-CEFLT,45.6,45.6,Electronic check,Yes,3037
1213-NGCUN,49.65,267.35,Bank transfer (automatic),Yes,4248
5688-KZTSN,20.0,288.05,Electronic check,Yes,4672
2894-QOJRX,34.0,853,Bank transfer (automatic),Yes,5024
5747-PMBSQ,92.5,934.1,Mailed check,Yes,2415
3143-JQEGI,88.35,1222.8,Electronic check,No,3740
6386-SZZKH,107.95,5293.2,Bank transfer (automatic),Yes,5785
2982-IHMFT,74.45,74.45,Mailed check,Yes,4291
3521-SYVOR,64.75,2345.2,Electronic check,Yes,5554
9526-JAWYF,89.8,2335.3,Electronic check,No,3452
5649-VUKMC,95.5,1115.15,Mailed check,No,3538
5143-EGQFK,29.65,291.4,Electronic check,Yes,5702
4919-IKATY,84.5,453.75,Electronic check,Yes,5141
9050-QLROH,90.7,1597.25,Credit card (automatic),Yes,2931
6168-WFVVF,70.3,235.5,Electronic check,Yes,5165
